LeaseNumber,City,Address,State,Lat,Long,AnnualRent,LeaseName,Status
LCT04727,WATERBURY,135 GRAND ST,CT,41.55365,-73.041931,109608,UNITED STATES POSTAL SERVICE,
LCT04728,WILLIMANTIC,919 MAIN STREET,CT,41.7127879,-72.216426,2982,UNITED STATES POSTAL SERVICE,
LCT04970,EAST HARTFORD,130 DARLIN ST,CT,41.76495,-72.658161,1213969,BAKER-PROPERTIES LIMITED PARTNERSHIP,
LCT04610,STAMFORD,101 BROAD ST,CT,41.0551649,-73.538571,234543,LANDMARK SQUARE 1-6,
LCT04642,MIDDLETOWN,425 MAIN STREET,CT,41.5600158,-72.649258,113486,Robert Balaban Realty LLC,
LCT04571,EAST HARTFORD,333 E RIVER DR,CT,41.7588,-72.658541,40616,AEF Realty LLC,
LCT04939,EAST HARTFORD,333 E RIVER DR,CT,41.7588,-72.658541,442108,AEF Realty LLC,
LCT04799,NEW HAVEN,55 WHITNEY AVE,CT,41.31194,-72.921911,153489,YALE UNIVERSITY,
LCT04197,NEW HAVEN,157 CHURCH ST,CT,41.30693,-72.924401,302698,157 CHURCH LLC,
LCT04747,NEW HAVEN,157 CHURCH ST,CT,41.30693,-72.924401,2630394,157 CHURCH LLC,
LCT04988,NEW HAVEN,157 CHURCH ST,CT,41.30693,-72.924401,1182142,157 CHURCH LLC,
LCT05012,NEW HAVEN,157 CHURCH ST,CT,41.30693,-72.924401,548425,157 CHURCH LLC,
LCT04427,NEW HAVEN,265 CHURCH ST,CT,41.31001,-72.922581,197494,CENTURY ONE LIMITED PARTNERSHIP,
LCT04455,NEW HAVEN,265 CHURCH ST,CT,41.31001,-72.922581,135849,CENTURY ONE LIMITED PARTNERSHIP,
LCT04702,NEW HAVEN,265 CHURCH ST,CT,41.31001,-72.922581,160247,CENTURY ONE LIMITED PARTNERSHIP,
LCT04879,NEW HAVEN,265 CHURCH ST,CT,41.31001,-72.922581,256490,CENTURY ONE LIMITED PARTNERSHIP,
LCT04327,GLASTONBURY,628 Hebron Ave,CT,41.71371,-72.589091,50564,Grunberg 628 Hebron LLC,
LCT04328,GLASTONBURY,628 Hebron Ave,CT,41.71371,-72.589091,143602,Grunberg 628 Hebron LLC,
LCT04336,MERIDEN,530 Preston Ave,CT,41.54078,-72.753861,30648,Albany Road Preston I LLC,
LCT05018,MERIDEN,530 Preston Ave,CT,41.54078,-72.753861,279758,ALBANY ROAD PRESTON I LLC,
LCT04550,NEW LONDON,2 Shaws Cv,CT,41.349704,-72.103264,207283,"TWO SHAWS COVE, LLC",
LCT04598,BRIDGEPORT,1000 LAFAYETTE BLVD,CT,41.1757525,-73.192357,293711,"SHELBOURNE LAFAYETTE, LLC",
LCT04709,BRIDGEPORT,1000 LAFAYETTE BLVD,CT,41.1757525,-73.192357,503721,"SHELBOURNE LAFAYETTE, LLC",
LCT04792,BRIDGEPORT,1000 LAFAYETTE BLVD,CT,41.1757525,-73.192357,458367,"SHELBOURNE LAFAYETTE, LLC",
LCT04994,MIDDLETOWN,213 COURT ST,CT,41.5596722,-72.65178,80590,213 Court Street Realty Trust,
LCT04889,GROTON,904 POQUONNOCK RD,CT,41.34746,-72.050251,46943,CHELSEA GROTON SAVINGS BANK,
LCT04587,HARTFORD,20 Church St,CT,41.76892,-72.673571,664468,"Shelbourne CT, LLC",
LCT04782,EAST HARTFORD,101 PITKIN ST,CT,41.76326,-72.651341,214619,SCITICO LLC,
LCT04065,NEW HAVEN,600 STATE STREET,CT,41.308819,-72.920169,2430812,FUSCO ARENA ASSOCIATES,
LCT04615,DANBURY,131 WEST ST,CT,41.39467,-73.462751,145858,SALAME PLAZA LLC,
LCT04661,DANBURY,131 WEST ST,CT,41.39467,-73.462751,103792,SALAME PLAZA LLC,
LCT04691,TOLLAND,344 MERROW RD,CT,41.85453,-72.342391,403260,MERROW PROPERTIES LLC,
LCT04205,HARTFORD,10 COLUMBUS BLVD,CT,41.75974,-72.669041,147501,"GCCFC 2007-GG9 Columbus Boulevard, LLC",
LCT04410,WINDSOR LOCKS,334 ELLA GRASSO TURNPIKE,CT,41.9407964,-72.671259,277317,K C R Bradley Associates Llc,
LCT04225,WILLIMANTIC,1320 MAIN ST,CT,41.71406,-72.230081,168570,ALEXANDER TYLER CORPORATION,
LCT04777,NEW LONDON,5 SHAWS CV,CT,41.34568,-72.100711,35585,"5 COVE, LLC",
LCT04524,NEW LONDON,1 CHELSEA ST,CT,41.34522,-72.096231,1471470,"CORCORAN JENNISON COMPANY, INC.",
LCT04315,HARTFORD,960 MAIN ST,CT,41.76834,-72.671811,571166,OLYMBEC HARTFORD LIMITED PARTNERSHIP,
LCT04673,SHELTON,6 ARMSTRONG RD,CT,41.2676,-73.126731,156474,"Kiamie 6 Armstrong, LLC",
LCT04956,SHELTON,6 ARMSTRONG RD,CT,41.2676,-73.126731,258849,"Kiamie 6 Armstrong, LLC",
LCT04923,NEW HAVEN,155 Burr St,CT,41.2694198,-72.891352,11429,TWEED NEW HAVEN AIRPORT AUTHORITY,
LCT04477,TOLLAND,36 Buff Cap Rd,CT,41.88836,-72.313461,13712,"WILLIAMS, STEPHEN D, GENERAL CONSTRUCTION COMPANY",
LCT04486,HARTFORD,21 OAK ST,CT,41.76215,-72.684591,129406,"CONNECTICUT EDUCATION ASSOCIATION, INCORPORATED, THE",
LCT04561,HAMDEN,15 MARNE STREET,CT,41.35469,-72.92834,807166,ELM CITY MFG JEWELERS INC,
LCT04474,NEW LONDON,2 UNION PLAZA,CT,41.35465,-72.09402,311030,UNION PLAZA ASSIOCATES II LLP,
LCT04596,ROCKY HILL,716 Brook St,CT,41.64066,-72.672421,480042,Albany Road-Winbrook LLC,
